NUMERO_REGISTRO_PRODUTO;IDENTIFICADOR_DO_ITEM;NOME_PRODUTO;TIPO_PRODUTO;CATEGORIA_REGULATORIA;CLASSE_TERAPEUTICA
104540166;25000025416; (VITAMINAS A )  +  ASSSOCIACÕES;MEDICAMENTO;SIMILAR;VITAMINAS E SUPLEMENTOS MINERAIS
119350001;25010171858; AC SALICILICO + AC BENZOICO + IODO;MEDICAMENTO;SIMILAR;ANTIMICOTICOS PARA USO TOPICO
100470305;25351022805; ALENDRONATO SODICO;MEDICAMENTO;SIMILAR;SUPRESSORES DA REABSORCAO OSSEA
104730021;25025007821; ARNICA MONTANA;MEDICAMENTO;FITOTERÁPICO;FITOTERAPICO SIMPLES
131750004;25351032631; ARNICA MONTANA L.;MEDICAMENTO;FITOTERÁPICO;FITOTERAPICO SIMPLES
105530205;25000007532; BUPIVACAINA + EPINEFRINA;MEDICAMENTO;SIMILAR;ANESTESICOS
146950014;25351007603; CETOCONAZOL;MEDICAMENTO;SIMILAR;ANTIMICOTICO
105830111;25992016886; CLORETO DE CETILPIRIDINIO + BENZOCAINA;MEDICAMENTO;SIMILAR;ANTINFECCIOSOS E ANTISSEPTICOS TOPICOS PARA OROFARINGE
151700006;25351032847; CLORETO DE SODIO;MEDICAMENTO;SIMILAR;REIDRATANTES PARENTERAIS
120690008;25025003154; CLORIDRATO DE DOBUTAMINA  ( EQUIV. A 25 MG DE DOBUT. BASE);MEDICAMENTO;SIMILAR;DILUENTES E VEICULOS DE MEDICAMENTOS + OUTROS MEDICAMENTOS DE ACAO NO APARELHO CARDIOVASCULAR
140750001;25351012823; DIPIRONA;MEDICAMENTO;SIMILAR;ANALGESICOS
121070001;25351007182; EUCALYPTUS GLOBULUS  LABILL.;MEDICAMENTO;FITOTERÁPICO;FITOTERAPICO SIMPLES
107740002;25351004543; GINKGO BILOBA;MEDICAMENTO;FITOTERÁPICO;FITOTERAPICO SIMPLES
101180040;25992011251; HEPARINA + HIALURONIDASE + LIDOCAINA;MEDICAMENTO;SIMILAR;ANTIVARICOSOS TOPICOS
109980025;25351007537; HYPERICUM PERFORATUM;MEDICAMENTO;FITOTERÁPICO;FITOTERAPICO SIMPLES
104730019;25025009944; HYPERICUM PERFORATUM L;MEDICAMENTO;FITOTERÁPICO;FITOTERAPICO SIMPLES
123610046;25351002503; IMUNOCIANINA;MEDICAMENTO;NOVO;IMUNOMODULADOR
126250086;25000039193; IODETO DE POTASSIO;MEDICAMENTO;SIMILAR;EXPECTORANTES
105710126;25001006402; IODETO DE POTASSIO;MEDICAMENTO;SIMILAR;EXPECTORANTES
105770173;25000020878; KAVA KAVA;MEDICAMENTO;FITOTERÁPICO;FITOTERAPICO SIMPLES
150300006;25351040627; METILDOPA;MEDICAMENTO;SIMILAR;ANTI-HIPERTENSIVOS
116540021;25000001340; NISTATINA;MEDICAMENTO;SIMILAR;ANTIMICOTICO
105500142;25351019591; RABEPRAZOL SODICO;MEDICAMENTO;SIMILAR;ANTIULCEROSOS
102350343;25000001662; SULFATO DE AMICACINA;MEDICAMENTO;SIMILAR;ANTIBIOTICOS SISTEMICOS SIMPLES
123890033;25001002164; TAMOXIFENO;MEDICAMENTO;SIMILAR;ANTINEOPLASICO
101160130;25000005840; TENOXICAM;MEDICAMENTO;SIMILAR;ANTINFLAMATORIOS ANTIREUMATICOS
118610034;25000019743; TERBINAFINA;MEDICAMENTO;SIMILAR;ANTIMICOTICO
100680871;25351005618; VACINA CONTRA SARAMPO, CAXUMBA E RUBEOLA;MEDICAMENTO;BIOLÓGICO;VACINAS
126090012;25000005811; VITAMINA C + ASSOCIAÇÕES;MEDICAMENTO;SIMILAR;POLIVITAMINICOS COM MINERAIS
103110127;25991008226;1/6 Molar Halex Istar;MEDICAMENTO;SIMILAR;ELETROLITOS SIMPLES
106750045;25000011594;17-VALERATO DE BETAMETASONA + ACIDO SALICILICO;MEDICAMENTO;NOVO;GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA
104400101;25000009855;17-VALERATO DE BETAMETASONA+ASSOCIASSOES;MEDICAMENTO;SIMILAR;GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA
115570020;25000017968;21 - ACETATO DE DEXAMETAZONA VIT B1, VIT B6 E VIT B 12;MEDICAMENTO;SIMILAR;ANTINFLAMATORIOS E ANTIREUMATIOS-ASSOCS  MEDICAMENTOSAS
139330017;25351161417;50 + multivitamínico;MEDICAMENTO;NOVO;POLIVITAMINICOS COM MINERAIS
102700125;25992018652;6 - COPENA;MEDICAMENTO;;ANTIEMETICOS E ANTINAUSEANTES
104970089;25001000394;A CURITYBINA;MEDICAMENTO;SIMILAR;CERATOLITICOS E CERATOPLASTICOS
101430001;25992001826;A SAUDE DA MULHER;MEDICAMENTO;FITOTERÁPICO;ANTIESPASMODICOS E ANTICOLINERGICOS-ASSOC  MEDICAMENTOSAS
105830361;25351213644;A SAÚDE DA MULHER;MEDICAMENTO;SIMILAR;ANTIESPASMODICOS E ANTICOLINERGICOS-ASSOC  MEDICAMENTOSAS
102351059;25351668917;A SAÚDE DA MULHER;MEDICAMENTO;NOVO;ANTIESPASMODICOS E ANTICOLINERGICOS-ASSOC  MEDICAMENTOSAS
105830001;25000019486;A.F.B.M;MEDICAMENTO;SIMILAR;POLIVITAMINICOS SEM MINERAIS
120330021;25992004160;AAS;MEDICAMENTO;SIMILAR;ANALGESICOS NAO NARCOTICOS
113000995;25351436179;AAS;MEDICAMENTO;;ANALGESICOS NAO NARCOTICOS
183260386;25351411966;AAS;MEDICAMENTO;SIMILAR;ANALGESICOS NAO NARCOTICOS
120330280;25351353153;AAS PROTECT;MEDICAMENTO;SIMILAR;ANTIAGREGANTE PLAQUETARIO
113000991;25351210265;AAS PROTECT;MEDICAMENTO;;ANTIAGREGANTE PLAQUETARIO
183260387;25351412012;AAS PROTECT;MEDICAMENTO;SIMILAR;ANTIAGREGANTE PLAQUETARIO
127480013;25351006692;ABACICLOVIR;MEDICAMENTO;SIMILAR;ANTIVIROTICOS
146820078;25351385248;ABBA;MEDICAMENTO;SIMILAR;AGENTES ANTINEOPLÁSICOS
105530180;25001004034;ABBOT EFEDRINA;MEDICAMENTO;SIMILAR;HIPERTENSOR
105530222;25000000473;ABBOTTRACURIUM;MEDICAMENTO;SIMILAR;ANESTESICOS GERAIS INJETAVEIS
106890153;25351141033;ABC;MEDICAMENTO;SIMILAR;ANTIMICOTICOS PARA USO TOPICO
136310004;25000011189;ABC PLUS;MEDICAMENTO;SIMILAR;VITAMINAS E SUPLEMENTOS MINERAIS
144930020;25351031327;ABCALCIUM B12;MEDICAMENTO;SIMILAR;VITAMINAS E SUPLEMENTOS MINERAIS
100630176;25000006469;ABCIXIMAB;MEDICAMENTO;SIMILAR;ANTICOAGULANTES
144930011;25351000184;ABCLER ABNAT;MEDICAMENTO;SIMILAR;OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METABOLISMO
144930012;25351000183;ABEDERIL;MEDICAMENTO;SIMILAR;ANTINFLAMATORIOS E ANTIREUMATIOS-ASSOCS  MEDICAMENTOSAS
144930008;25351029910;ABEDOSEC;MEDICAMENTO;SIMILAR;ANTIULCEROSOS
100890257;25351006432;ABELCET;MEDICAMENTO;NOVO;ANTIMICOTICOS SISTEMICOS
156260016;25351699304;ABELCET;MEDICAMENTO;NOVO;ANTIMICOTICOS SISTEMICOS
113001101;25351307110;ABELIA;MEDICAMENTO;SIMILAR;IMUNOMODULADOR
144930016;25351031336;ABEPOTEN;MEDICAMENTO;SIMILAR;ANTI-HIPERTENSIVOS SIMPLES
144930010;25351029908;ABERALGINA;MEDICAMENTO;SIMILAR;ANALGESICOS NAO NARCOTICOS
144930001;25351019042;ABFOR GERIN;MEDICAMENTO;SIMILAR;VITAMINAS E SUPLEMENTOS MINERAIS
144930051;25351120125;ABFOR GERIN;MEDICAMENTO;ESPECÍFICO;POLIVITAMINICOS COM MINERAIS
144930004;25351029906;ABIDOR;MEDICAMENTO;SIMILAR;ANALGESICOS
144930003;25351029909;ABIFLAN;MEDICAMENTO;SIMILAR;ANTINFLAMATORIOS
144930009;25351031330;ABIFLAN;MEDICAMENTO;SIMILAR;ANTINFLAMATORIOS
101800279;25351166429;ABILIFY;MEDICAMENTO;NOVO;ANTIPSICOTICOS
115600144;25351208902;ABINESIL;MEDICAMENTO;SIMILAR;ANTIDIABETICOS
109740100;25000003578;ABLOK;MEDICAMENTO;SIMILAR;BETABLOQUEADORES SIMPLES
109740092;25000020927;ABLOK PLUS;MEDICAMENTO;SIMILAR;ANTI-HIPERTENSIVOS
102480001;25991005967;ABOBORA D''ANTA;MEDICAMENTO;FITOTERÁPICO;FITOTERAPICO COMPOSTO
110330046;25351006020;ABRENA;MEDICAMENTO;SIMILAR;DESCONGESTIONANTES NASAIS TOPICOS
103900192;25351567981;ABRETIA;MEDICAMENTO;SIMILAR;ANTIDEPRESSIVOS
154230216;25351356211;ABRIFIT;MEDICAMENTO;FITOTERÁPICO;EXPECTORANTES SIMPLES + FITOTERAPICO SIMPLES
103900141;25351164045;ABRILAR;MEDICAMENTO;FITOTERÁPICO;EXPECTORANTES + FITOTERAPICO SIMPLES
101810283;25991006310;ABSTEN S;MEDICAMENTO;SIMILAR;ANOREXICOS SIMPLES
105730270;25000002388;AC ACETIL+ASSOC;MEDICAMENTO;SIMILAR;ANALGESICOS NAO NARCOTICOS
110860049;25000028706;AC ASCORBICO+CARBONATO DE MAGNESIO+CARB DE CALCIO+ LACT. FERROSO;MEDICAMENTO;SIMILAR;VITAMINAS E SUPLEMENTOS MINERAIS
102660049;25000022771;AC BENZOICO ASSOCIADO;MEDICAMENTO;SIMILAR;ANTISSEPTICO
109740105;25000020921;AC. ACETIL SALICILICO + ASSOCIAÇÕES;MEDICAMENTO;SIMILAR;ANALGESICOS NAO NARCOTICOS
104650233;25000017804;AC. ACETILSALICILICO+ASSOCIAÇÕES;MEDICAMENTO;SIMILAR;ANTIACIDOS E ANTIULCEROSOS SIMPLES
100470344;25351011058;AC. ASCORBICO;MEDICAMENTO;SIMILAR;VITAMINAS OU MINERAIS ASSOCIADOS A OUTROS FARMACOS
100020090;25000011586;AC. ASCORBICO + ASSOCIACÕES;MEDICAMENTO;SIMILAR;POLIVITAMINICOS COM MINERAIS
108580225;25001011490;AC. GLUTAMICO + ASSOCIAÇÕES;MEDICAMENTO;SIMILAR;PRODUTOS PARA DIETAS ESPECIAIS
104400021;25991009206;ACAFRAN;MEDICAMENTO;FITOTERÁPICO;COLAGOGOS E COLERETICOS
104440106;25351019544;ACALKA;MEDICAMENTO;SIMILAR;PRODUTOS PARA VIAS URINARIAS
106240231;25351070459;ACALMIL;MEDICAMENTO;FITOTERÁPICO;FITOTERAPICO COMPOSTO
118190118;25351357322;ACALMIL;MEDICAMENTO;;FITOTERAPICO COMPOSTO
118190216;25351963576;ACALMILFITO;MEDICAMENTO;FITOTERÁPICO;ANSIOLITICOS-ASSOCIACOES MEDICAMENTOSAS + FITOTERAPICO COMPOSTO
112130350;25992003435;ACARSAN;MEDICAMENTO;SIMILAR;ESCABICIDAS E OUTROS ECTOPARASITICIDAS
101810616;25351718951;ACCERA;MEDICAMENTO;SIMILAR;ANTIGLAUCOMATOSOS
183260032;25351697631;ACCERA;MEDICAMENTO;;ANTIGLAUCOMATOSOS
116180065;25000041346;ACCOLATE;MEDICAMENTO;NOVO;ANTIASMATICOS
102160087;25351059566;ACCUPRIL;MEDICAMENTO;;ANTI-HIPERTENSIVOS
105730206;25991004182;ACCUVIT;MEDICAMENTO;ESPECÍFICO;VITAMINAS E SUPLEMENTOS MINERAIS
108580230;25351002584;ACEBROFILINA;MEDICAMENTO;SIMILAR;BRONCODILATADORES
135690195;25351061495;ACEBROFILINA;MEDICAMENTO;GENÉRICO;BRONCODILATADORES
112130333;25351010425;ACEBROFILINA;MEDICAMENTO;GENÉRICO;BRONCODILATADORES
101810476;25351046975;ACEBROFILINA;MEDICAMENTO;GENÉRICO;BRONCODILATADORES
104650418;25351093385;ACEBROFILINA;MEDICAMENTO;GENÉRICO;BRONCODILATADORES
104971318;25351250180;ACEBROFILINA;MEDICAMENTO;GENÉRICO;EXPECTORANTES
125680159;25351368763;ACEBROFILINA;MEDICAMENTO;GENÉRICO;BRONCODILATADORES
154230123;25351120208;ACEBROFILINA;MEDICAMENTO;GENÉRICO;BRONCODILATADORES
172870109;25351224091;ACEBROFILINA;MEDICAMENTO;;BRONCODILATADORES
178170089;25351652091;ACEBROFILINA;MEDICAMENTO;;BRONCODILATADORES
155840398;25351525180;ACEBROFILINA;MEDICAMENTO;GENÉRICO;BRONCODILATADORES
105730609;25351849309;ACEBROFILINA;MEDICAMENTO;GENÉRICO;BRONCODILATADORES
113050036;25001018522;ACECILICO;MEDICAMENTO;SIMILAR;ANALGESICOS NAO NARCOTICOS
113050002;25001018490;ACECILICO;MEDICAMENTO;SIMILAR;ANALGESICOS NAO NARCOTICOS
108580179;25000012377;ACECLOFENAC;MEDICAMENTO;SIMILAR;ANTINFLAMATORIOS
103940455;25000000507;ACECLOFENACO;MEDICAMENTO;SIMILAR;ANTINFLAMATORIOS
104971130;25000026052;ACECLOFENACO;MEDICAMENTO;SIMILAR;ANTINFLAMATORIOS
105730265;25000002386;ACECLOFENACO;MEDICAMENTO;SIMILAR;ANTINFLAMATORIOS
101800258;25000001258;ACECLOFENACO;MEDICAMENTO;SIMILAR;ANTINFLAMATORIOS
123520100;25351008197;ACECLOFENACO;MEDICAMENTO;GENÉRICO;ANTINFLAMATORIOS
102350841;25351429903;ACECLOFENACO;MEDICAMENTO;GENÉRICO;ANTINFLAMATORIOS
105830541;25351429196;ACECLOFENACO;MEDICAMENTO;GENÉRICO;ANTINFLAMATORIOS
135690419;25351428095;ACECLOFENACO;MEDICAMENTO;GENÉRICO;ANTINFLAMATORIOS
118190078;25351615903;ACECLOFENACO;MEDICAMENTO;GENÉRICO;ANTINFLAMATORIOS
102351053;25351730441;ACECLOFENACO;MEDICAMENTO;GENÉRICO;ANTINFLAMATORIOS
105830742;25351745914;ACECLOFENACO;MEDICAMENTO;GENÉRICO;ANTINFLAMATORIOS
167730357;25351742066;ACECLOFENACO;MEDICAMENTO;GENÉRICO;ANTINFLAMATORIOS
126750156;25351548450;ACECLOFENACO;MEDICAMENTO;GENÉRICO;ANTINFLAMATORIOS
