NUMERO_REGISTRO_PRODUTO;IDENTIFICADOR_DO_ITEM;NOME_PRODUTO;DATA_DE_PEDIDO_DO_ITEM;DATA_DE_ENTRADA_DO_ITEM;DATA_VENCIMENTO_REGISTRO;QUANTIDADE;CUSTO_DE_AQUISIÇÃO
104540166;25000025416; (VITAMINAS A )  +  ASSSOCIACÕES;;25/04/2000;01/04/2005;;
119350001;25010171858; AC SALICILICO + AC BENZOICO + IODO;;19/05/2000;01/05/2005;;
100470305;25351022805; ALENDRONATO SODICO;;04/06/2001;01/05/2006;;
104730021;25025007821; ARNICA MONTANA;;19/03/2002;01/03/2007;;
131750004;25351032631; ARNICA MONTANA L.;;01/07/2002;01/06/2007;;
105530205;25000007532; BUPIVACAINA + EPINEFRINA;;07/06/2001;01/05/2006;;
146950014;25351007603; CETOCONAZOL;;23/10/2002;01/10/2007;;
105830111;25992016886; CLORETO DE CETILPIRIDINIO + BENZOCAINA;;25/04/2001;01/12/2005;;
151700006;25351032847; CLORETO DE SODIO;;18/04/2002;01/04/2007;;
120690008;25025003154; CLORIDRATO DE DOBUTAMINA  ( EQUIV. A 25 MG DE DOBUT. BASE);;21/01/2002;01/01/2012;;
140750001;25351012823; DIPIRONA;;31/05/2001;01/05/2006;;
121070001;25351007182; EUCALYPTUS GLOBULUS  LABILL.;;05/08/2002;01/08/2007;;
107740002;25351004543; GINKGO BILOBA;;17/08/2001;01/08/2006;;
101180040;25992011251; HEPARINA + HIALURONIDASE + LIDOCAINA;;15/04/2002;01/03/2003;;
109980025;25351007537; HYPERICUM PERFORATUM;;14/09/2001;01/09/2006;;
104730019;25025009944; HYPERICUM PERFORATUM L;;13/06/2001;01/06/2006;;
123610046;25351002503; IMUNOCIANINA;;12/09/2001;01/09/2006;;
126250086;25000039193; IODETO DE POTASSIO;;10/12/2001;01/11/2006;;
105710126;25001006402; IODETO DE POTASSIO;;21/11/2011;01/09/2002;;
105770173;25000020878; KAVA KAVA;;17/08/2001;01/08/2006;;
150300006;25351040627; METILDOPA;;05/06/2002;01/05/2007;;
116540021;25000001340; NISTATINA;;24/05/2002;01/05/2007;;
105500142;25351019591; RABEPRAZOL SODICO;;18/02/2002;01/02/2007;;
102350343;25000001662; SULFATO DE AMICACINA;;02/08/1994;01/06/2004;;
123890033;25001002164; TAMOXIFENO;;28/03/2001;01/06/2003;;
101160130;25000005840; TENOXICAM;;08/03/1996;01/03/2006;;
118610034;25000019743; TERBINAFINA;;31/05/1996;01/05/2006;;
100680871;25351005618; VACINA CONTRA SARAMPO, CAXUMBA E RUBEOLA;;12/06/2002;01/06/2006;;
126090012;25000005811; VITAMINA C + ASSOCIAÇÕES;;27/06/2001;01/06/2006;;
103110127;25991008226;1/6 Molar Halex Istar;;11/07/1979;01/07/2004;;
106750045;25000011594;17-VALERATO DE BETAMETASONA + ACIDO SALICILICO;;11/03/1997;01/03/2002;;
104400101;25000009855;17-VALERATO DE BETAMETASONA+ASSOCIASSOES;;22/11/1999;01/11/2004;;
115570020;25000017968;21 - ACETATO DE DEXAMETAZONA VIT B1, VIT B6 E VIT B 12;;04/12/1997;01/12/2002;;
139330017;25351161417;50 + multivitamínico;;09/04/2003;01/01/2008;;
102700125;25992018652;6 - COPENA;;11/10/1983;01/10/2003;;
104970089;25001000394;A CURITYBINA;;23/04/2002;01/11/2019;;
101430001;25992001826;A SAUDE DA MULHER;;19/06/2000;01/01/2016;;
105830361;25351213644;A SAÚDE DA MULHER;;14/07/2004;01/07/2014;;
102351059;25351668917;A SAÚDE DA MULHER;;26/03/2012;01/07/2029;;
105830001;25000019486;A.F.B.M;;18/03/2002;01/03/2007;;
120330021;25992004160;AAS;;09/10/2002;01/09/2007;;
113000995;25351436179;AAS;;13/08/2007;01/12/2019;;
183260386;25351411966;AAS;;09/09/2019;01/12/2029;;
