NUMERO_REGISTRO_PRODUTO,IDENTIFICADOR_DO_ITEM,NOME_PRODUTO,DATA_DE_PEDIDO_DO_ITEM,DATA_DE_ENTRADA_DO_ITEM,DATA_VENCIMENTO_REGISTRO,QUANTIDADE,CUSTO_DE_AQUISICAO
129160047,25351020444,ACETONIDO DE FLUOCINOLONA,2019-10-31,2020-01-31,2020-07-13,43,992
129160047,25351020444,ACETONIDO DE FLUOCINOLONA,2019-11-29,2020-02-29,2020-08-11,5,992
129160047,25351020444,ACETONIDO DE FLUOCINOLONA,2019-12-30,2020-03-31,2020-09-11,44,992
129160047,25351020444,ACETONIDO DE FLUOCINOLONA,2020-01-29,2020-04-30,2020-10-11,105,992
129160047,25351020444,ACETONIDO DE FLUOCINOLONA,2020-02-29,2020-05-31,2020-11-11,130,992
129160047,25351020444,ACETONIDO DE FLUOCINOLONA,2020-03-30,2020-06-30,2020-12-11,14,992
129160047,25351020444,ACETONIDO DE FLUOCINOLONA,2020-04-30,2020-07-31,2021-01-11,147,992
129160047,25351020444,ACETONIDO DE FLUOCINOLONA,2020-05-31,2020-08-31,2021-02-11,38,992
129160047,25351020444,ACETONIDO DE FLUOCINOLONA,2020-06-30,2020-09-30,2021-03-13,223,992
129160047,25351020444,ACETONIDO DE FLUOCINOLONA,2020-07-31,2020-10-31,2021-04-13,26,992
129160047,25351020444,ACETONIDO DE FLUOCINOLONA,2020-08-30,2020-11-30,2021-05-13,12,992
129160047,25351020444,ACETONIDO DE FLUOCINOLONA,2020-09-30,2020-12-31,2021-06-13,58,992
129160047,25351020444,ACETONIDO DE FLUOCINOLONA,2020-10-31,2021-01-31,2021-07-14,8,992
129160047,25351020444,ACETONIDO DE FLUOCINOLONA,2020-11-28,2021-02-28,2021-08-11,43,992
129160047,25351020444,ACETONIDO DE FLUOCINOLONA,2020-12-29,2021-03-31,2021-09-11,17,992
129160047,25351020444,ACETONIDO DE FLUOCINOLONA,2021-01-28,2021-04-30,2021-10-11,118,992
129160047,25351020444,ACETONIDO DE FLUOCINOLONA,2021-02-28,2021-05-31,2021-11-11,220,992
129160047,25351020444,ACETONIDO DE FLUOCINOLONA,2021-03-30,2021-06-30,2021-12-11,9,992
129160047,25351020444,ACETONIDO DE FLUOCINOLONA,2021-04-30,2021-07-31,2022-01-11,116,992
129160047,25351020444,ACETONIDO DE FLUOCINOLONA,2021-05-31,2021-08-31,2022-02-11,135,992
129160047,25351020444,ACETONIDO DE FLUOCINOLONA,2021-06-30,2021-09-30,2022-03-13,50,992
129160047,25351020444,ACETONIDO DE FLUOCINOLONA,2021-07-31,2021-10-31,2022-04-13,26,992
129160047,25351020444,ACETONIDO DE FLUOCINOLONA,2021-08-30,2021-11-30,2022-05-13,84,992
129160047,25351020444,ACETONIDO DE FLUOCINOLONA,2021-09-30,2021-12-31,2022-06-13,49,992
103700096,25000000327,AERODINI,2019-11-16,2020-01-31,2020-05-23,24,5403
103700096,25000000327,AERODINI,2019-12-15,2020-02-29,2020-06-21,19,5403
103700096,25000000327,AERODINI,2020-01-15,2020-03-31,2020-07-22,20,5403
103700096,25000000327,AERODINI,2020-02-14,2020-04-30,2020-08-21,210,5403
103700096,25000000327,AERODINI,2020-03-16,2020-05-31,2020-09-21,84,5403
103700096,25000000327,AERODINI,2020-04-15,2020-06-30,2020-10-21,123,5403
103700096,25000000327,AERODINI,2020-05-16,2020-07-31,2020-11-21,7,5403
103700096,25000000327,AERODINI,2020-06-16,2020-08-31,2020-12-22,50,5403
103700096,25000000327,AERODINI,2020-07-16,2020-09-30,2021-01-21,5,5403
103700096,25000000327,AERODINI,2020-08-16,2020-10-31,2021-02-21,65,5403
103700096,25000000327,AERODINI,2020-09-15,2020-11-30,2021-03-23,52,5403
103700096,25000000327,AERODINI,2020-10-16,2020-12-31,2021-04-23,49,5403
103700096,25000000327,AERODINI,2020-11-16,2021-01-31,2021-05-24,131,5403
103700096,25000000327,AERODINI,2020-12-14,2021-02-28,2021-06-21,37,5403
103700096,25000000327,AERODINI,2021-01-14,2021-03-31,2021-07-22,158,5403
103700096,25000000327,AERODINI,2021-02-13,2021-04-30,2021-08-21,28,5403
103700096,25000000327,AERODINI,2021-03-16,2021-05-31,2021-09-21,112,5403
103700096,25000000327,AERODINI,2021-04-15,2021-06-30,2021-10-21,33,5403
103700096,25000000327,AERODINI,2021-05-16,2021-07-31,2021-11-21,166,5403
103700096,25000000327,AERODINI,2021-06-16,2021-08-31,2021-12-22,47,5403
103700096,25000000327,AERODINI,2021-07-16,2021-09-30,2022-01-21,104,5403
103700096,25000000327,AERODINI,2021-08-16,2021-10-31,2022-02-21,132,5403
103700096,25000000327,AERODINI,2021-09-15,2021-11-30,2022-03-23,134,5403
103700096,25000000327,AERODINI,2021-10-16,2021-12-31,2022-04-23,209,5403
100680956,25351034438,ALENDRONATO SÓDICO,2019-11-02,2020-01-31,2020-07-05,79,5502
100680956,25351034438,ALENDRONATO SÓDICO,2019-12-01,2020-02-29,2020-08-03,90,5502
100680956,25351034438,ALENDRONATO SÓDICO,2020-01-01,2020-03-31,2020-09-03,3,5502
100680956,25351034438,ALENDRONATO SÓDICO,2020-01-31,2020-04-30,2020-10-03,38,5502
100680956,25351034438,ALENDRONATO SÓDICO,2020-03-02,2020-05-31,2020-11-03,93,5502
100680956,25351034438,ALENDRONATO SÓDICO,2020-04-01,2020-06-30,2020-12-03,10,5502
100680956,25351034438,ALENDRONATO SÓDICO,2020-05-02,2020-07-31,2021-01-03,69,5502
100680956,25351034438,ALENDRONATO SÓDICO,2020-06-02,2020-08-31,2021-02-03,99,5502
100680956,25351034438,ALENDRONATO SÓDICO,2020-07-02,2020-09-30,2021-03-05,104,5502
100680956,25351034438,ALENDRONATO SÓDICO,2020-08-02,2020-10-31,2021-04-05,54,5502
100680956,25351034438,ALENDRONATO SÓDICO,2020-09-01,2020-11-30,2021-05-05,18,5502
100680956,25351034438,ALENDRONATO SÓDICO,2020-10-02,2020-12-31,2021-06-05,185,5502
100680956,25351034438,ALENDRONATO SÓDICO,2020-11-02,2021-01-31,2021-07-06,105,5502
100680956,25351034438,ALENDRONATO SÓDICO,2020-11-30,2021-02-28,2021-08-03,151,5502
100680956,25351034438,ALENDRONATO SÓDICO,2020-12-31,2021-03-31,2021-09-03,137,5502
100680956,25351034438,ALENDRONATO SÓDICO,2021-01-30,2021-04-30,2021-10-03,203,5502
100680956,25351034438,ALENDRONATO SÓDICO,2021-03-02,2021-05-31,2021-11-03,60,5502
100680956,25351034438,ALENDRONATO SÓDICO,2021-04-01,2021-06-30,2021-12-03,116,5502
100680956,25351034438,ALENDRONATO SÓDICO,2021-05-02,2021-07-31,2022-01-03,27,5502
100680956,25351034438,ALENDRONATO SÓDICO,2021-06-02,2021-08-31,2022-02-03,156,5502
100680956,25351034438,ALENDRONATO SÓDICO,2021-07-02,2021-09-30,2022-03-05,91,5502
100680956,25351034438,ALENDRONATO SÓDICO,2021-08-02,2021-10-31,2022-04-05,38,5502
100680956,25351034438,ALENDRONATO SÓDICO,2021-09-01,2021-11-30,2022-05-05,201,5502
100680956,25351034438,ALENDRONATO SÓDICO,2021-10-02,2021-12-31,2022-06-05,174,5502
183260313,25351189991,ALLEGRA D,2019-08-17,2020-01-31,2020-07-07,8,4786
183260313,25351189991,ALLEGRA D,2019-09-15,2020-02-29,2020-08-05,14,4786
183260313,25351189991,ALLEGRA D,2019-10-16,2020-03-31,2020-09-05,136,4786
