NUMERO_REGISTRO_PRODUTO;IDENTIFICADOR_DO_ITEM;NOME_PRODUTO;DATA_DE_CONSUMO;QUANTIDADE
104540166;25000025416; (VITAMINAS A )  +  ASSSOCIACÕES;;
119350001;25010171858; AC SALICILICO + AC BENZOICO + IODO;;
100470305;25351022805; ALENDRONATO SODICO;;
104730021;25025007821; ARNICA MONTANA;;
131750004;25351032631; ARNICA MONTANA L.;;
105530205;25000007532; BUPIVACAINA + EPINEFRINA;;
146950014;25351007603; CETOCONAZOL;;
105830111;25992016886; CLORETO DE CETILPIRIDINIO + BENZOCAINA;;
151700006;25351032847; CLORETO DE SODIO;;
120690008;25025003154; CLORIDRATO DE DOBUTAMINA  ( EQUIV. A 25 MG DE DOBUT. BASE);;
140750001;25351012823; DIPIRONA;;
121070001;25351007182; EUCALYPTUS GLOBULUS  LABILL.;;
107740002;25351004543; GINKGO BILOBA;;
101180040;25992011251; HEPARINA + HIALURONIDASE + LIDOCAINA;;
109980025;25351007537; HYPERICUM PERFORATUM;;
104730019;25025009944; HYPERICUM PERFORATUM L;;
123610046;25351002503; IMUNOCIANINA;;
126250086;25000039193; IODETO DE POTASSIO;;
105710126;25001006402; IODETO DE POTASSIO;;
105770173;25000020878; KAVA KAVA;;
150300006;25351040627; METILDOPA;;
116540021;25000001340; NISTATINA;;
105500142;25351019591; RABEPRAZOL SODICO;;
102350343;25000001662; SULFATO DE AMICACINA;;
123890033;25001002164; TAMOXIFENO;;
101160130;25000005840; TENOXICAM;;
118610034;25000019743; TERBINAFINA;;
100680871;25351005618; VACINA CONTRA SARAMPO, CAXUMBA E RUBEOLA;;
126090012;25000005811; VITAMINA C + ASSOCIAÇÕES;;
103110127;25991008226;1/6 Molar Halex Istar;;
106750045;25000011594;17-VALERATO DE BETAMETASONA + ACIDO SALICILICO;;
104400101;25000009855;17-VALERATO DE BETAMETASONA+ASSOCIASSOES;;
115570020;25000017968;21 - ACETATO DE DEXAMETAZONA VIT B1, VIT B6 E VIT B 12;;
139330017;25351161417;50 + multivitamínico;;
102700125;25992018652;6 - COPENA;;
104970089;25001000394;A CURITYBINA;;
101430001;25992001826;A SAUDE DA MULHER;;
105830361;25351213644;A SAÚDE DA MULHER;;
102351059;25351668917;A SAÚDE DA MULHER;;
105830001;25000019486;A.F.B.M;;
120330021;25992004160;AAS;;
113000995;25351436179;AAS;;
183260386;25351411966;AAS;;
120330280;25351353153;AAS PROTECT;;
113000991;25351210265;AAS PROTECT;;
183260387;25351412012;AAS PROTECT;;
127480013;25351006692;ABACICLOVIR;;
146820078;25351385248;ABBA;;
105530180;25001004034;ABBOT EFEDRINA;;
105530222;25000000473;ABBOTTRACURIUM;;
106890153;25351141033;ABC;;
136310004;25000011189;ABC PLUS;;
144930020;25351031327;ABCALCIUM B12;;
100630176;25000006469;ABCIXIMAB;;
144930011;25351000184;ABCLER ABNAT;;
144930012;25351000183;ABEDERIL;;
144930008;25351029910;ABEDOSEC;;
100890257;25351006432;ABELCET;;
156260016;25351699304;ABELCET;;
113001101;25351307110;ABELIA;;
144930016;25351031336;ABEPOTEN;;
144930010;25351029908;ABERALGINA;;
144930001;25351019042;ABFOR GERIN;;
144930051;25351120125;ABFOR GERIN;;
144930004;25351029906;ABIDOR;;
144930003;25351029909;ABIFLAN;;
144930009;25351031330;ABIFLAN;;
101800279;25351166429;ABILIFY;;
115600144;25351208902;ABINESIL;;
109740100;25000003578;ABLOK;;
109740092;25000020927;ABLOK PLUS;;
102480001;25991005967;ABOBORA D''ANTA;;
110330046;25351006020;ABRENA;;
103900192;25351567981;ABRETIA;;
154230216;25351356211;ABRIFIT;;
103900141;25351164045;ABRILAR;;
101810283;25991006310;ABSTEN S;;
105730270;25000002388;AC ACETIL+ASSOC;;
110860049;25000028706;AC ASCORBICO+CARBONATO DE MAGNESIO+CARB DE CALCIO+ LACT. FERROSO;;
102660049;25000022771;AC BENZOICO ASSOCIADO;;
109740105;25000020921;AC. ACETIL SALICILICO + ASSOCIAÇÕES;;
104650233;25000017804;AC. ACETILSALICILICO+ASSOCIAÇÕES;;
100470344;25351011058;AC. ASCORBICO;;
100020090;25000011586;AC. ASCORBICO + ASSOCIACÕES;;
108580225;25001011490;AC. GLUTAMICO + ASSOCIAÇÕES;;
104400021;25991009206;ACAFRAN;;
104440106;25351019544;ACALKA;;
106240231;25351070459;ACALMIL;;
118190118;25351357322;ACALMIL;;
118190216;25351963576;ACALMILFITO;;
112130350;25992003435;ACARSAN;;
101810616;25351718951;ACCERA;;
183260032;25351697631;ACCERA;;
116180065;25000041346;ACCOLATE;;
102160087;25351059566;ACCUPRIL;;
105730206;25991004182;ACCUVIT;;
108580230;25351002584;ACEBROFILINA;;
135690195;25351061495;ACEBROFILINA;;
112130333;25351010425;ACEBROFILINA;;
101810476;25351046975;ACEBROFILINA;;
104650418;25351093385;ACEBROFILINA;;
104971318;25351250180;ACEBROFILINA;;
125680159;25351368763;ACEBROFILINA;;
154230123;25351120208;ACEBROFILINA;;
172870109;25351224091;ACEBROFILINA;;
178170089;25351652091;ACEBROFILINA;;
155840398;25351525180;ACEBROFILINA;;
105730609;25351849309;ACEBROFILINA;;
113050036;25001018522;ACECILICO;;
113050002;25001018490;ACECILICO;;
108580179;25000012377;ACECLOFENAC;;
103940455;25000000507;ACECLOFENACO;;
104971130;25000026052;ACECLOFENACO;;
105730265;25000002386;ACECLOFENACO;;
101800258;25000001258;ACECLOFENACO;;
123520100;25351008197;ACECLOFENACO;;
102350841;25351429903;ACECLOFENACO;;
105830541;25351429196;ACECLOFENACO;;
135690419;25351428095;ACECLOFENACO;;
118190078;25351615903;ACECLOFENACO;;
102351053;25351730441;ACECLOFENACO;;
105830742;25351745914;ACECLOFENACO;;
167730357;25351742066;ACECLOFENACO;;
126750156;25351548450;ACECLOFENACO;;
103920172;25351047703;ACECLOFENACO;;
156510064;25351185488;ACECLOFENACO;;
110330008;25000000698;ACECTIL;;
125680235;25351011547;ACEDILAT;;
126750290;25351307380;ACEFLOR;;
105770005;25992021563;ACEMEDROX;;
129160044;25351001393;ACEPONATO DE HIDROCORTISONA;;
104400005;25992003403;ACERATUM;;
104041922;25000002519;ACEROGRIP C;;
100430134;25000015741;ACEROL;;
110220006;25351024761;ACEROLITA;;
104042002;25351295915;ACEROLUP C;;
172870459;25351513379;ACEROLUP C;;
155840387;25351542349;ACEROLUP C;;
112780077;25351666271;ACERTALIX;;
112780075;25351118802;ACERTANLO;;
112780074;25351047692;ACERTIL;;
164000001;25351407134;ACESYL;;
102940115;25000019722;ACETAMIL;;
115200017;25000014109;ACETAMOL;;
113430031;25001005788;ACETAN;;
100431245;25351368629;ACETATO DE ABIRATERONA;;
108170063;25000018167;ACETATO DE ALFA DL TOCOFEROL;;
104650316;25351029160;ACETATO DE CIPROTERONA;;
143170001;25351014940;ACETATO DE CIPROTERONA;;
104971386;25351416397;ACETATO DE CIPROTERONA;;
106460069;25000027797;ACETATO DE CIPROTERONA + ETINILESTRADIOL;;
100470566;25351518128;ACETATO DE CIPROTERONA + ETINILESTRADIOL;;
155840400;25351703022;ACETATO DE CIPROTERONA+ETINILESTRADIOL;;
155890004;25351527182;ACETATO DE CIPROTERONA+ETINILESTRADIOL;;
177940029;25351056403;ACETATO DE CIPROTERONA+ETINILESTRADIOL;;
126750408;25351576153;ACETATO DE CLORMADINONA + ETINILESTRADIOL;;
167730674;25351578918;ACETATO DE CLORMADINONA + ETINILESTRADIOL;;
105831005;25351578919;ACETATO DE CLORMADINONA + ETINILESTRADIOL;;
113001134;25351812020;ACETATO DE CLORMADINONA+ETINILESTRADIOL;;
101810637;25351789728;ACETATO DE CLORMADINONA+ETINILESTRADIOL;;
183260041;25351697694;ACETATO DE CLORMADINONA+ETINILESTRADIOL;;
101810534;25351438341;ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA;;
101810535;25351438431;ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA;;
183260226;25351096058;ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA;;
183260255;25351679847;ACETATO DE CLOSTEBOL + SULFATO DE NEOMICINA;;
125740026;25000055573;ACETATO DE DEXAMETASONA;;
102270032;25000020905;ACETATO DE DEXAMETASONA;;
125680126;25351045969;ACETATO DE DEXAMETASONA;;
104971334;25351072733;ACETATO DE DEXAMETASONA;;
102350848;25351486639;ACETATO DE DEXAMETASONA;;
105830544;25351482857;ACETATO DE DEXAMETASONA;;
135690424;25351485203;ACETATO DE DEXAMETASONA;;
118190173;25351725563;ACETATO DE DEXAMETASONA;;
105750050;25000054493;ACETATO DE DEXAMETASONA + VITAMINAS;;
112330014;25000011195;ACETATO DE DEXAMETAZONA;;
