NUMERO_REGISTRO_PRODUTO,MSE,abs_error,abs_target_sum,abs_target_mean,seasonal_error,MASE,MAPE,sMAPE,ND,MSIS,QuantileLoss_median,Coverage_median,Modelo,Tipo,RMSE,NRMSE,wQuantileLoss_median,mean_absolute_QuantileLoss,mean_wQuantileLoss,MAE_Coverage,OWA,Avaliacao
5,161.2962962962963,37.66666666666667,100.0,33.333333333333336,14.25,0.8810916179337233,0.4400521505784664,0.3791287104170541,0.3766666666666667,35.24366471734893,37.66666666666667,0.6666666666666666,MediaMovel,Por Item,,,,,,,,2022-09-16
111,161.9629629629629,37.0,92.0,30.66666666666667,19.75,0.6244725738396625,0.5190138466734212,0.4796817082026907,0.4021739130434783,24.978902953586502,37.0,0.3333333333333333,MediaMovel,Por Item,,,,,,,,2022-09-16
100020016,400.18518518518516,51.0,104.0,34.666666666666664,9.0,1.8888888888888888,3.5423093681917206,0.7126749268806254,0.4903846153846154,75.55555555555556,51.0,0.3333333333333333,MediaMovel,Por Item,,,,,,,,2022-09-16
100020069,217.4074074074073,37.99999999999999,99.0,33.0,18.25,0.6940639269406391,0.5144179894179893,0.4141119765589215,0.38383838383838376,27.762557077625562,37.99999999999999,0.3333333333333333,MediaMovel,Por Item,,,,,,,,2022-09-16
100020086,350.7407407407409,56.00000000000001,71.0,23.66666666666667,13.125,1.4222222222222225,2.7494553376906317,0.884971226206286,0.7887323943661972,56.8888888888889,56.00000000000001,0.6666666666666666,MediaMovel,Por Item,,,,,,,,2022-09-16
100020087,10.481481481481481,8.333333333333332,30.0,10.0,15.875,0.1749781277340332,0.2559523809523809,0.2984365228267667,0.2777777777777777,6.9991251093613265,8.333333333333332,0.0,MediaMovel,Por Item,,,,,,,,2022-09-16
100020093,858.5555555555553,75.0,98.0,32.666666666666664,24.625,1.0152284263959392,0.33765015015015026,0.9497508523472332,0.7653061224489796,40.60913705583757,75.0,0.6666666666666666,MediaMovel,Por Item,,,,,,,,2022-09-16
100020099,10.59259259259259,9.333333333333332,18.0,6.0,21.625,0.1438664097623635,0.7390572390572389,0.5181663837011884,0.5185185185185185,5.75465639049454,9.333333333333332,0.6666666666666666,MediaMovel,Por Item,,,,,,,,2022-09-16
100140048,73.11111111111116,20.000000000000004,59.0,19.666666666666668,24.875,0.2680067001675042,0.5212842712842715,0.3609018478152674,0.3389830508474577,10.72026800670017,20.000000000000004,0.6666666666666666,MediaMovel,Por Item,,,,,,,,2022-09-16
100140065,41.07407407407407,16.333333333333336,29.0,9.666666666666666,16.375,0.3324851569126379,1.445906432748538,0.6448585231193927,0.5632183908045978,13.299406276505515,16.333333333333336,0.3333333333333333,MediaMovel,Por Item,,,,,,,,2022-09-16
100140069,63.629629629629605,20.0,86.0,28.66666666666667,24.625,0.2707275803722504,0.2124800497016828,0.2423532287919533,0.2325581395348837,10.829103214890015,20.0,0.3333333333333333,MediaMovel,Por Item,,,,,,,,2022-09-16
100140078,343.9259259259259,44.66666666666667,89.0,29.66666666666667,15.875,0.9378827646544184,0.4971153846153847,0.4595866420683939,0.50187265917603,37.515310586176724,44.66666666666667,0.6666666666666666,MediaMovel,Por Item,,,,,,,,2022-09-16
100200048,332.33333333333337,45.66666666666667,64.0,21.33333333333333,21.625,0.703917790622993,8.402315841340231,0.8466131907308379,0.7135416666666667,28.156711624919726,45.66666666666667,0.6666666666666666,MediaMovel,Por Item,,,,,,,,2022-09-16
100200072,734.2962962962962,58.66666666666666,84.0,28.0,16.875,1.1588477366255143,1.1128868594622014,0.6960001019406961,0.6984126984126983,46.35390946502057,58.66666666666666,0.6666666666666666,MediaMovel,Por Item,,,,,,,,2022-09-16
100200076,37.37037037037038,18.333333333333336,40.0,13.333333333333336,9.75,0.6267806267806268,0.6315873015873017,0.4803775459513164,0.4583333333333334,25.07122507122508,18.333333333333336,0.6666666666666666,MediaMovel,Por Item,,,,,,,,2022-09-16
100200078,393.8518518518517,48.66666666666666,76.0,25.33333333333333,14.875,1.090569561157796,0.9702380952380952,0.7322205725768959,0.6403508771929823,43.62278244631185,48.66666666666666,0.6666666666666666,MediaMovel,Por Item,,,,,,,,2022-09-16
100200080,34.59259259259259,17.333333333333332,23.0,7.666666666666668,20.5,0.28184281842818426,0.9537037037037036,0.6548291633037395,0.753623188405797,11.273712737127369,17.333333333333332,0.6666666666666666,MediaMovel,Por Item,,,,,,,,2022-09-16
100200127,412.22222222222223,60.66666666666666,119.0,39.66666666666666,18.625,1.0857568978374346,0.6660151745768181,0.5124095105519254,0.5098039215686274,43.43027591349738,60.66666666666666,0.6666666666666666,MediaMovel,Por Item,,,,,,,,2022-09-16
100200138,20.81481481481481,13.333333333333332,12.0,4.0,17.875,0.2486402486402486,1.5873015873015872,0.8658008658008658,1.111111111111111,9.945609945609943,13.333333333333332,0.6666666666666666,MediaMovel,Por Item,,,,,,,,2022-09-16
100230025,28.518518518518533,14.0,96.0,32.0,18.5,0.2522522522522523,0.14335533690372398,0.15788258436530536,0.14583333333333334,10.09009009009009,14.0,0.3333333333333333,MediaMovel,Por Item,,,,,,,,2022-09-16
100230081,54.85185185185186,21.0,27.0,9.0,12.875,0.5436893203883495,3.0259259259259257,0.8922602528522973,0.7777777777777778,21.74757281553398,21.0,0.6666666666666666,MediaMovel,Por Item,,,,,,,,2022-09-16
100230112,26.40740740740744,15.000000000000007,35.0,11.666666666666664,18.375,0.2721088435374151,0.6736111111111113,0.4860268660850299,0.4285714285714288,10.884353741496604,15.000000000000007,0.6666666666666666,MediaMovel,Por Item,,,,,,,,2022-09-16
100230193,6.111111111111111,7.0,26.0,8.666666666666666,12.125,0.19243986254295534,0.3870370370370369,0.3154923507864684,0.2692307692307692,7.697594501718212,7.0,0.3333333333333333,MediaMovel,Por Item,,,,,,,,2022-09-16
100230235,76.51851851851855,19.33333333333333,95.0,31.66666666666667,15.625,0.4124444444444443,0.3241557734204793,0.23868680459454106,0.2035087719298245,16.497777777777774,19.33333333333333,0.3333333333333333,MediaMovel,Por Item,,,,,,,,2022-09-16
100230236,63.185185185185155,20.66666666666666,22.0,7.333333333333332,14.875,0.4631185807656394,0.9185185185185182,0.5794871794871793,0.9393939393939392,18.524743230625575,20.66666666666666,1.0,MediaMovel,Por Item,,,,,,,,2022-09-16
100240120,76.62962962962959,24.33333333333333,56.0,18.666666666666668,18.375,0.4414210128495841,0.4444444444444445,0.4791593421618032,0.4345238095238095,17.656840513983372,24.33333333333333,0.3333333333333333,MediaMovel,Por Item,,,,,,,,2022-09-16
100250065,89.85185185185186,22.000000000000004,52.0,17.333333333333332,13.0,0.5641025641025642,1.0806100217864925,0.4898058252427185,0.4230769230769231,22.56410256410257,22.000000000000004,0.6666666666666666,MediaMovel,Por Item,,,,,,,,2022-09-16
100250102,315.5925925925926,50.33333333333334,29.0,9.666666666666666,11.875,1.4128654970760235,9.326570048309176,1.2530291577910626,1.735632183908046,56.514619883040936,50.33333333333334,0.6666666666666666,MediaMovel,Por Item,,,,,,,,2022-09-16
100250112,183.85185185185196,38.00000000000001,70.0,23.33333333333333,20.625,0.6141414141414143,0.5879806468041763,0.4756879278299107,0.5428571428571429,24.56565656565657,38.00000000000001,0.6666666666666666,MediaMovel,Por Item,,,,,,,,2022-09-16
100290008,32.111111111111114,15.666666666666664,32.0,10.666666666666666,9.0,0.5802469135802469,0.8491809116809117,0.5995828854404969,0.4895833333333333,23.209876543209877,15.666666666666664,0.3333333333333333,MediaMovel,Por Item,,,,,,,,2022-09-16
