NUMERO_REGISTRO_PRODUTO,DATA_DE_CONSUMO,QUANTIDADE_SAIDA,PREDICAO_MEDIA_MOVEL,PREDICAO_DEEPAR
5,2020-02-29,16,,
5,2020-03-31,50,,
5,2020-04-30,4,,
5,2020-05-31,17,23.33333333333333,
5,2020-06-30,6,23.66666666666667,
5,2020-07-31,1,9.0,
5,2020-08-31,19,8.0,
5,2020-09-30,37,8.666666666666666,
5,2020-10-31,7,19.0,
5,2020-11-30,62,21.0,
5,2020-12-31,17,35.333333333333336,
5,2021-01-31,25,28.66666666666667,
5,2021-02-28,3,34.666666666666664,
5,2021-03-31,13,15.0,
5,2021-04-30,15,13.666666666666664,
5,2021-05-31,6,10.333333333333334,
5,2021-06-30,3,11.333333333333336,
5,2021-07-31,21,8.0,
5,2021-08-31,28,10.0,
5,2021-09-30,47,17.333333333333332,
5,2021-10-31,22,32.0,
5,2021-11-30,57,32.333333333333336,22.701356887817383
5,2021-12-31,21,42.0,13.20810604095459
5,2022-01-31,20,33.333333333333336,20.259763717651367
111,2020-02-29,13,,
111,2020-03-31,18,,
111,2020-04-30,27,,
111,2020-05-31,50,19.33333333333333,
111,2020-06-30,26,31.66666666666667,
111,2020-07-31,3,34.333333333333336,
111,2020-08-31,55,26.33333333333333,
111,2020-09-30,26,28.0,
111,2020-10-31,18,28.0,
111,2020-11-30,13,33.0,
111,2020-12-31,11,19.0,
111,2021-01-31,25,14.0,
111,2021-02-28,23,16.333333333333332,
111,2021-03-31,61,19.666666666666668,
111,2021-04-30,15,36.333333333333336,
111,2021-05-31,21,33.0,
111,2021-06-30,19,32.333333333333336,
111,2021-07-31,13,18.33333333333333,
111,2021-08-31,23,17.666666666666668,
111,2021-09-30,11,18.33333333333333,
111,2021-10-31,35,15.666666666666664,
111,2021-11-30,10,23.0,21.963340759277344
111,2021-12-31,47,18.666666666666668,22.19563865661621
111,2022-01-31,22,30.66666666666667,22.088241577148438
100020016,2020-02-29,44,,
100020016,2020-03-31,13,,
100020016,2020-04-30,0,,
100020016,2020-05-31,19,19.0,
100020016,2020-06-30,19,10.666666666666666,
100020016,2020-07-31,23,12.666666666666664,
100020016,2020-08-31,38,20.33333333333333,
100020016,2020-09-30,41,26.66666666666667,
100020016,2020-10-31,7,34.0,
100020016,2020-11-30,26,28.66666666666667,
100020016,2020-12-31,1,24.66666666666667,
100020016,2021-01-31,8,11.333333333333336,
100020016,2021-02-28,32,11.666666666666664,
100020016,2021-03-31,15,13.666666666666664,
100020016,2021-04-30,15,18.33333333333333,
100020016,2021-05-31,9,20.666666666666668,
100020016,2021-06-30,10,13.0,
100020016,2021-07-31,7,11.333333333333336,
100020016,2021-08-31,40,8.666666666666666,
100020016,2021-09-30,47,19.0,
100020016,2021-10-31,51,31.33333333333333,
100020016,2021-11-30,3,46.0,26.79741859436035
100020016,2021-12-31,50,33.666666666666664,19.886812210083008
100020016,2022-01-31,24,34.666666666666664,16.125856399536133
100020069,2020-02-29,14,,
100020069,2020-03-31,41,,
100020069,2020-04-30,7,,
100020069,2020-05-31,21,20.666666666666668,
100020069,2020-06-30,4,23.0,
100020069,2020-07-31,11,10.666666666666666,
100020069,2020-08-31,6,12.0,
100020069,2020-09-30,17,7.0,
100020069,2020-10-31,21,11.333333333333336,
100020069,2020-11-30,9,14.666666666666664,
100020069,2020-12-31,27,15.666666666666664,
100020069,2021-01-31,44,19.0,
100020069,2021-02-28,38,26.66666666666667,
100020069,2021-03-31,6,36.333333333333336,
100020069,2021-04-30,24,29.33333333333333,
100020069,2021-05-31,9,22.66666666666667,
100020069,2021-06-30,20,13.0,
100020069,2021-07-31,31,17.666666666666668,
100020069,2021-08-31,4,20.0,
100020069,2021-09-30,37,18.33333333333333,
100020069,2021-10-31,48,24.0,
100020069,2021-11-30,16,29.66666666666667,20.597557067871094
100020069,2021-12-31,35,33.666666666666664,21.297080993652344
100020069,2022-01-31,2,33.0,14.447351455688477
100020086,2020-02-29,14,,
100020086,2020-03-31,3,,
100020086,2020-04-30,35,,
100020086,2020-05-31,30,17.333333333333332,
100020086,2020-06-30,43,22.66666666666667,
100020086,2020-07-31,4,36.0,
100020086,2020-08-31,8,25.66666666666667,
100020086,2020-09-30,26,18.33333333333333,
100020086,2020-10-31,30,12.666666666666664,
100020086,2020-11-30,13,21.33333333333333,
100020086,2020-12-31,9,23.0,
100020086,2021-01-31,0,17.333333333333332,
100020086,2021-02-28,2,7.333333333333332,
100020086,2021-03-31,1,3.6666666666666665,
100020086,2021-04-30,10,1.0,
100020086,2021-05-31,28,4.333333333333333,
100020086,2021-06-30,4,13.0,
100020086,2021-07-31,16,14.0,
100020086,2021-08-31,13,16.0,
100020086,2021-09-30,34,11.0,
100020086,2021-10-31,51,21.0,
100020086,2021-11-30,17,32.666666666666664,21.29922866821289
100020086,2021-12-31,3,34.0,23.65102767944336
100020086,2022-01-31,25,23.66666666666667,13.979862213134766
100020087,2020-02-29,35,,
100020087,2020-03-31,10,,
100020087,2020-04-30,63,,
100020087,2020-05-31,41,36.0,
100020087,2020-06-30,7,38.0,
100020087,2020-07-31,28,37.0,
100020087,2020-08-31,9,25.33333333333333,
100020087,2020-09-30,10,14.666666666666664,
100020087,2020-10-31,45,15.666666666666664,
100020087,2020-11-30,16,21.33333333333333,
100020087,2020-12-31,13,23.66666666666667,
100020087,2021-01-31,5,24.66666666666667,
100020087,2021-02-28,21,11.333333333333336,
100020087,2021-03-31,25,13.0,
100020087,2021-04-30,2,17.0,
100020087,2021-05-31,41,16.0,
100020087,2021-06-30,11,22.66666666666667,
100020087,2021-07-31,3,18.0,
100020087,2021-08-31,9,18.33333333333333,
100020087,2021-09-30,2,7.666666666666668,
100020087,2021-10-31,7,4.666666666666667,
100020087,2021-11-30,8,6.0,17.95092010498047
100020087,2021-12-31,15,5.666666666666668,22.264598846435547
100020087,2022-01-31,27,10.0,21.523605346679688
100020093,2020-02-29,18,,
100020093,2020-03-31,0,,
100020093,2020-04-30,47,,
100020093,2020-05-31,3,21.66666666666667,
100020093,2020-06-30,0,16.666666666666668,
100020093,2020-07-31,41,16.666666666666668,
100020093,2020-08-31,37,14.666666666666664,
100020093,2020-09-30,39,26.0,
100020093,2020-10-31,1,39.0,
100020093,2020-11-30,17,25.66666666666667,
100020093,2020-12-31,62,19.0,
100020093,2021-01-31,4,26.66666666666667,
100020093,2021-02-28,37,27.66666666666667,
100020093,2021-03-31,0,34.333333333333336,
100020093,2021-04-30,20,13.666666666666664,
100020093,2021-05-31,53,19.0,
100020093,2021-06-30,16,24.33333333333333,
100020093,2021-07-31,1,29.66666666666667,
100020093,2021-08-31,51,23.33333333333333,
100020093,2021-09-30,8,22.66666666666667,
100020093,2021-10-31,24,20.0,
100020093,2021-11-30,74,27.66666666666667,18.822742462158203
100020093,2021-12-31,0,35.333333333333336,20.635404586791992
100020093,2022-01-31,15,32.666666666666664,19.39107322692871
100020099,2020-02-29,5,,
100020099,2020-03-31,18,,
100020099,2020-04-30,18,,
100020099,2020-05-31,46,13.666666666666664,
100020099,2020-06-30,10,27.33333333333333,
100020099,2020-07-31,3,24.66666666666667,
100020099,2020-08-31,23,19.666666666666668,
100020099,2020-09-30,33,12.0,
100020099,2020-10-31,15,19.666666666666668,
100020099,2020-11-30,26,23.66666666666667,
100020099,2020-12-31,17,24.66666666666667,
100020099,2021-01-31,10,19.33333333333333,
100020099,2021-02-28,32,17.666666666666668,
100020099,2021-03-31,13,19.666666666666668,
100020099,2021-04-30,37,18.33333333333333,
100020099,2021-05-31,9,27.33333333333333,
100020099,2021-06-30,38,19.666666666666668,
100020099,2021-07-31,17,28.0,
100020099,2021-08-31,5,21.33333333333333,
100020099,2021-09-30,8,20.0,
100020099,2021-10-31,11,10.0,
100020099,2021-11-30,3,8.0,14.731758117675781
100020099,2021-12-31,4,7.333333333333332,19.031272888183594
100020099,2022-01-31,59,6.0,22.010465621948242
100140048,2020-02-29,0,,
100140048,2020-03-31,23,,
100140048,2020-04-30,11,,
100140048,2020-05-31,59,11.333333333333336,
100140048,2020-06-30,73,31.0,
100140048,2020-07-31,1,47.66666666666666,
100140048,2020-08-31,15,44.33333333333334,
100140048,2020-09-30,13,29.66666666666667,
100140048,2020-10-31,30,9.666666666666666,
100140048,2020-11-30,11,19.33333333333333,
100140048,2020-12-31,43,18.0,
100140048,2021-01-31,8,28.0,
100140048,2021-02-28,0,20.666666666666668,
100140048,2021-03-31,32,17.0,
100140048,2021-04-30,4,13.333333333333336,
100140048,2021-05-31,8,12.0,
100140048,2021-06-30,29,14.666666666666664,
100140048,2021-07-31,48,13.666666666666664,
100140048,2021-08-31,13,28.33333333333333,
100140048,2021-09-30,52,30.0,
100140048,2021-10-31,12,37.66666666666666,
100140048,2021-11-30,33,25.66666666666667,19.336788177490234
100140048,2021-12-31,14,32.333333333333336,18.611495971679688
100140048,2022-01-31,1,19.666666666666668,20.308883666992188
100140065,2020-02-29,2,,
100140065,2020-03-31,11,,
100140065,2020-04-30,7,,
100140065,2020-05-31,26,6.666666666666668,
100140065,2020-06-30,35,14.666666666666664,
100140065,2020-07-31,33,22.66666666666667,
100140065,2020-08-31,2,31.33333333333333,
100140065,2020-09-30,19,23.33333333333333,
100140065,2020-10-31,25,18.0,
100140065,2020-11-30,9,15.333333333333336,
100140065,2020-12-31,30,17.666666666666668,
100140065,2021-01-31,50,21.33333333333333,
100140065,2021-02-28,18,29.66666666666667,
100140065,2021-03-31,40,32.666666666666664,
100140065,2021-04-30,29,36.0,
100140065,2021-05-31,25,29.0,
100140065,2021-06-30,5,31.33333333333333,
100140065,2021-07-31,47,19.666666666666668,
100140065,2021-08-31,8,25.66666666666667,
100140065,2021-09-30,6,20.0,
100140065,2021-10-31,8,20.33333333333333,
100140065,2021-11-30,19,7.333333333333332,19.905977249145508
100140065,2021-12-31,2,11.0,23.53818130493164
100140065,2022-01-31,27,9.666666666666666,19.106592178344727
100140069,2020-02-29,21,,
100140069,2020-03-31,0,,
100140069,2020-04-30,31,,
100140069,2020-05-31,13,17.333333333333332,
100140069,2020-06-30,61,14.666666666666664,
100140069,2020-07-31,8,35.0,
100140069,2020-08-31,24,27.33333333333333,
100140069,2020-09-30,1,31.0,
100140069,2020-10-31,30,11.0,
100140069,2020-11-30,25,18.33333333333333,
100140069,2020-12-31,45,18.666666666666668,
100140069,2021-01-31,51,33.333333333333336,
100140069,2021-02-28,34,40.333333333333336,
100140069,2021-03-31,21,43.33333333333334,
100140069,2021-04-30,3,35.333333333333336,
100140069,2021-05-31,6,19.33333333333333,
100140069,2021-06-30,18,10.0,
100140069,2021-07-31,46,9.0,
100140069,2021-08-31,2,23.33333333333333,
100140069,2021-09-30,26,22.0,
100140069,2021-10-31,23,24.66666666666667,
100140069,2021-11-30,22,17.0,24.771778106689453
100140069,2021-12-31,41,23.66666666666667,19.50634002685547
100140069,2022-01-31,9,28.66666666666667,18.971464157104492
100140078,2020-02-29,22,,
100140078,2020-03-31,40,,
100140078,2020-04-30,7,,
100140078,2020-05-31,6,23.0,
100140078,2020-06-30,46,17.666666666666668,
100140078,2020-07-31,0,19.666666666666668,
100140078,2020-08-31,31,17.333333333333332,
100140078,2020-09-30,14,25.66666666666667,
100140078,2020-10-31,32,15.0,
100140078,2020-11-30,15,25.66666666666667,
100140078,2020-12-31,56,20.33333333333333,
100140078,2021-01-31,9,34.333333333333336,
100140078,2021-02-28,26,26.66666666666667,
100140078,2021-03-31,30,30.33333333333333,
100140078,2021-04-30,5,21.66666666666667,
100140078,2021-05-31,19,20.33333333333333,
100140078,2021-06-30,1,18.0,
100140078,2021-07-31,28,8.333333333333334,
100140078,2021-08-31,12,16.0,
100140078,2021-09-30,20,13.666666666666664,
100140078,2021-10-31,13,20.0,
100140078,2021-11-30,60,15.0,19.559280395507812
100140078,2021-12-31,16,31.0,20.02941131591797
100140078,2022-01-31,18,29.66666666666667,17.91179084777832
100200048,2020-02-29,0,,
100200048,2020-03-31,12,,
100200048,2020-04-30,24,,
100200048,2020-05-31,6,12.0,
100200048,2020-06-30,0,14.0,
100200048,2020-07-31,17,10.0,
100200048,2020-08-31,40,7.666666666666668,
100200048,2020-09-30,2,19.0,
100200048,2020-10-31,1,19.666666666666668,
100200048,2020-11-30,23,14.333333333333336,
100200048,2020-12-31,9,8.666666666666666,
100200048,2021-01-31,36,11.0,
100200048,2021-02-28,26,22.66666666666667,
100200048,2021-03-31,68,23.66666666666667,
100200048,2021-04-30,41,43.33333333333334,
100200048,2021-05-31,3,45.0,
100200048,2021-06-30,8,37.333333333333336,
