NUMERO_REGISTRO_PRODUTO,DATA_DE_CONSUMO,QUANTIDADE_SAIDA,PREDICAO_MEDIA_MOVEL,PREDICAO_DEEPAR,VALORES,DATA_REFERENCIA,CUSTO_MEDIA_MOVEL,CUSTO_DEEPAR
10277002,2020-02-29,21,-9999999999,-9999999999,3611,2021-08-24,0,0
10277002,2020-03-31,18,-9999999999,-9999999999,3611,2021-08-24,0,0
10277002,2020-04-30,56,-9999999999,-9999999999,3611,2021-08-24,0,0
10277002,2020-05-31,0,31,-9999999999,3611,2021-08-24,111941,0
10277002,2020-06-30,21,24,-9999999999,3611,2021-08-24,86664,0
10277002,2020-07-31,8,25,-9999999999,3611,2021-08-24,90275,0
10277002,2020-08-31,30,9,-9999999999,3611,2021-08-24,32499,0
10277002,2020-09-30,17,19,-9999999999,3611,2021-08-24,68609,0
10277002,2020-10-31,16,18,-9999999999,3611,2021-08-24,64998,0
10277002,2020-11-30,5,21,-9999999999,3611,2021-08-24,75831,0
10277002,2020-12-31,1,12,-9999999999,3611,2021-08-24,43332,0
10277002,2021-01-31,0,7,-9999999999,3611,2021-08-24,25277,0
10277002,2021-02-28,28,2,-9999999999,3611,2021-08-24,7222,0
10277002,2021-03-31,20,9,-9999999999,3611,2021-08-24,32499,0
10277002,2021-04-30,4,16,-9999999999,3611,2021-08-24,57776,0
10277002,2021-05-31,21,17,-9999999999,3611,2021-08-24,61387,0
10277002,2021-06-30,48,15,-9999999999,3611,2021-08-24,54165,0
10277002,2021-07-31,19,24,-9999999999,3611,2021-08-24,86664,0
10277002,2021-08-31,1,29,-9999999999,3611,2021-08-24,104719,0
10277002,2021-09-30,2,22,-9999999999,3611,2021-08-24,79442,0
10277002,2021-10-31,29,7,-9999999999,3611,2021-08-24,25277,0
10277002,2021-11-30,1,10,20,3611,2021-08-24,36110,72220
10277002,2021-12-31,12,10,17,3611,2021-08-24,36110,61387
10277002,2022-01-31,36,14,17,3611,2021-08-24,50554,61387
100020070,2020-02-29,29,-9999999999,-9999999999,2542,2021-11-11,0,0
100020070,2020-03-31,3,-9999999999,-9999999999,2542,2021-11-11,0,0
100020070,2020-04-30,34,-9999999999,-9999999999,2542,2021-11-11,0,0
100020070,2020-05-31,2,22,-9999999999,2542,2021-11-11,55924,0
100020070,2020-06-30,16,13,-9999999999,2542,2021-11-11,33046,0
100020070,2020-07-31,58,17,-9999999999,2542,2021-11-11,43214,0
100020070,2020-08-31,0,25,-9999999999,2542,2021-11-11,63550,0
100020070,2020-09-30,19,24,-9999999999,2542,2021-11-11,61008,0
100020070,2020-10-31,8,25,-9999999999,2542,2021-11-11,63550,0
100020070,2020-11-30,4,9,-9999999999,2542,2021-11-11,22878,0
100020070,2020-12-31,20,10,-9999999999,2542,2021-11-11,25420,0
100020070,2021-01-31,43,10,-9999999999,2542,2021-11-11,25420,0
100020070,2021-02-28,52,22,-9999999999,2542,2021-11-11,55924,0
100020070,2021-03-31,20,38,-9999999999,2542,2021-11-11,96596,0
100020070,2021-04-30,15,38,-9999999999,2542,2021-11-11,96596,0
100020070,2021-05-31,37,29,-9999999999,2542,2021-11-11,73718,0
100020070,2021-06-30,46,24,-9999999999,2542,2021-11-11,61008,0
100020070,2021-07-31,2,32,-9999999999,2542,2021-11-11,81344,0
100020070,2021-08-31,31,28,-9999999999,2542,2021-11-11,71176,0
100020070,2021-09-30,7,26,-9999999999,2542,2021-11-11,66092,0
100020070,2021-10-31,18,13,-9999999999,2542,2021-11-11,33046,0
100020070,2021-11-30,30,18,16,2542,2021-11-11,45756,40672
100020070,2021-12-31,51,18,13,2542,2021-11-11,45756,33046
100020070,2022-01-31,2,33,16,2542,2021-11-11,83886,40672
100020082,2020-02-29,11,-9999999999,-9999999999,1025,2021-08-02,0,0
100020082,2020-03-31,42,-9999999999,-9999999999,1025,2021-08-02,0,0
100020082,2020-04-30,42,-9999999999,-9999999999,1025,2021-08-02,0,0
100020082,2020-05-31,22,31,-9999999999,1025,2021-08-02,31775,0
100020082,2020-06-30,13,35,-9999999999,1025,2021-08-02,35875,0
100020082,2020-07-31,14,25,-9999999999,1025,2021-08-02,25625,0
100020082,2020-08-31,14,16,-9999999999,1025,2021-08-02,16400,0
100020082,2020-09-30,11,13,-9999999999,1025,2021-08-02,13325,0
100020082,2020-10-31,12,13,-9999999999,1025,2021-08-02,13325,0
100020082,2020-11-30,10,12,-9999999999,1025,2021-08-02,12300,0
100020082,2020-12-31,6,11,-9999999999,1025,2021-08-02,11275,0
100020082,2021-01-31,26,9,-9999999999,1025,2021-08-02,9225,0
100020082,2021-02-28,24,14,-9999999999,1025,2021-08-02,14350,0
100020082,2021-03-31,0,18,-9999999999,1025,2021-08-02,18450,0
100020082,2021-04-30,2,16,-9999999999,1025,2021-08-02,16400,0
100020082,2021-05-31,23,8,-9999999999,1025,2021-08-02,8200,0
100020082,2021-06-30,16,8,-9999999999,1025,2021-08-02,8200,0
